Size;Run;Default;Emftvm
10;0;50225554;38878433
10;1;33529411;62489839
10;2;30190840;50359393
10;3;22624859;48235632
10;4;21214627;47012201
10;5;22587504;47559047
10;6;28888992;50487488
10;7;27043172;49060010
10;8;24223530;47792239
10;9;27455362;45031716
50;0;33781898;53948401
50;1;31700013;54377832
50;2;32535885;53701249
50;3;29680115;50877094
50;4;29399714;50780615
50;5;28179157;50072421
50;6;30426084;50365551
50;7;29627565;51329925
50;8;28914855;50957561
50;9;30593175;51883758
100;0;40195472;57488142
100;1;39270094;56911319
100;2;39317312;57653591
100;3;39956527;58742770
100;4;40256230;59575363
100;5;42110263;59486274
100;6;36367933;56321364
100;7;38696562;59677181
100;8;38657152;57834640
100;9;39318544;58080561
500;0;113554143;117594340
500;1;112279392;117823015
500;2;113063947;118747158
500;3;112144732;118000367
500;4;114559569;117197335
500;5;298327183;117414110
500;6;106761224;118937652
500;7;105703657;117774983
500;8;105801773;118205235
500;9;108116028;120115509
1000;0;192438784;183182173
1000;1;194046077;185415959
1000;2;193109618;183946202
1000;3;192771328;184409705
1000;4;193871185;183967551
1000;5;367127548;182087653
1000;6;192703587;183895700
1000;7;192562357;183294662
1000;8;191806948;183063524
1000;9;193652364;185159776
5000;0;930079664;595548352
5000;1;1120891448;597305083
5000;2;931754697;609370663
5000;3;1119179878;608576666
5000;4;928820518;596213846
5000;5;1118621943;596326751
5000;6;1118564053;592450360
5000;7;926510776;595138621
5000;8;1102721438;591976590
5000;9;925881405;597935276
10000;0;2073143956;1109592768
10000;1;2091145640;1092603905
10000;2;1890474560;1098433268
10000;3;2066210630;1093839241
10000;4;2052261869;1091892840
10000;5;2247493611;1096713074
10000;6;2055265844;1094110206
10000;7;1896946430;1096378064
10000;8;2052233540;1097510767
10000;9;2061707743;1090943240
50000;0;10469913033;4906259700
50000;1;10496045609;4906370137
50000;2;10465837116;4910326171
50000;3;10467479714;4907029883
50000;4;10495659691;4896740334
50000;5;10645346529;4918090034
50000;6;10474220082;4902360729
50000;7;10602473463;4887281323
50000;8;10898750376;4889836568
50000;9;14829474601;4935624515
